央视频道,#genre#
吉林卫视,http://101.65.135.36:85/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://101.65.135.36:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://111.59.24.227:8181/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://101.65.135.36:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://106.46.169.202:9000/hls/19/index.m3u8

黑龙江卫视,http://113.195.172.192:1808/hls/201/index.m3u8
四川卫视,http://101.65.135.36:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://106.46.169.202:9000/hls/29/index.m3u8
四川卫视,http://120.211.62.180:8000/hls/42/index.m3u8
重庆卫视,http://183.129.255.66:8480/hls/37/index.m3u8
重庆卫视,http://101.65.135.36:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://101.65.135.36:85/tsfile/live/1043_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://120.211.62.180:8000/hls/40/index.m3u8
广东卫视,http://101.65.135.36:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.129.255.66:8480/hls/31/index.m3u8
深圳卫视,http://183.129.255.66:8480/hls/34/index.m3u8
深圳卫视,http://106.46.169.202:9000/hls/28/index.m3u8
广西卫视,http://111.8.224.6:9999/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://221.7.175.154:8445/tsfile/live/0113_2.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://101.65.135.36:85/tsfile/live/1037_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://183.129.255.66:8480/hls/40/index.m3u8
云南卫视,http://106.46.169.202:9000/hls/32/index.m3u8
云南卫视,http://113.195.172.192:1808/hls/204/index.m3u8
海南卫视,http://106.46.169.202:9000/hls/40/index.m3u8
青海卫视,http://180.165.8.71:19999/rtp/233.18.204.112:5140
宁夏卫视,http://106.46.169.202:9000/hls/35/index.m3u8

兵团卫视,http://180.165.8.71:19999/rtp/233.18.204.221:5140
宁夏卫视,http://113.195.172.192:1808/hls/205/index.m3u8
宁夏卫视,http://222.71.55.147:9901/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://106.46.169.202:9000/hls/39/index.m3u8
山西卫视,http://119.39.9.8:9901/tsfile/live/0118_1.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
陕西卫视,http://106.46.169.202:9000/hls/23/index.m3u8
陕西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
西藏卫视,http://113.195.172.192:1808/hls/210/index.m3u8
西藏卫视,http://180.165.8.71:19999/rtp/233.18.204.222:5140
新疆卫视,http://180.165.8.71:19999/rtp/233.18.204.220:5140





省内频道,#genre#

浙江钱江都市,http://ali-xwl.cztv.com/live/channel021080Plxw.m3u8
浙江经济生活,https://ali-xwl.cztv.com/live/channel031080Pnew.m3u8
浙江经济生活,http://115.29.208.41:33333/list7/zjtv.php?id=03
浙江科教影视,http://115.29.208.41:33333/list7/zjtv.php?id=04
浙江科教影视,https://ali-xwl.cztv.com/live/channel041080Pnew.m3u8
浙江民生休闲,http://115.29.208.41:33333/list7/zjtv.php?id=06
浙江民生休闲,https://ali-xwl.cztv.com/live/channel061080Pnew.m3u8
浙江公共新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,http://115.29.208.41:33333/list7/zjtv.php?id=10
浙江国际,https://ali-xwl.cztv.com/live/channel101080Pnew.m3u8
