📡备用线路1,#genre#
CCTV5+,http://222.134.19.49:8090/641886773$山东联通
CCTV6,http://222.134.19.49:8090/624878396$山东联通
CCTV7,http://222.134.19.49:8090/673168121$山东联通
CCTV8,http://222.134.19.49:8090/624878356$山东联通
CCTV9,http://222.134.19.49:8090/673168140$山东联通
CCTV10,http://222.134.19.49:8090/624878405$山东联通
CCTV11,http://222.134.19.49:8090/667987558$山东联通
CCTV12,http://222.134.19.49:8090/673168185$山东联通
CCTV13,http://222.134.19.49:8090/608807423$山东联通
CCTV14,http://222.134.19.49:8090/624878440$山东联通
CCTV15,http://222.134.19.49:8090/673168223$山东联通
CCTV17,http://222.134.19.49:8090/673168256$山东联通
中国天气,http://222.134.19.49:8090/959986621$山东联通
CHC影迷电影,http://222.134.19.49:8090/952383261$山东联通
北京卫视,http://222.134.19.49:8090/630287636$山东联通
东方卫视,http://222.134.19.49:8090/651632648$山东联通
江苏卫视,http://222.134.19.49:8090/623899368$山东联通
江西卫视,http://222.134.19.49:8090/783847495$山东联通
湖北卫视,http://222.134.19.49:8090/947472496$山东联通
辽宁卫视,http://222.134.19.49:8090/630291707$山东联通
陕西卫视,http://222.134.19.49:8090/738910838$山东联通
河南卫视,http://222.134.19.49:8090/790187291$山东联通
重庆卫视,http://222.134.19.49:8090/738910914$山东联通
吉林卫视,http://222.134.19.49:8090/947472500$山东联通
青海卫视,http://222.134.19.49:8090/947472506$山东联通
宁夏卫视,http://222.134.19.49:8090/738910535$山东联通
海南卫视,http://222.134.19.49:8090/947472502$山东联通
兵团卫视,http://222.134.19.49:8090/956923145$山东联通
三沙卫视,http://222.134.19.49:8090/961023778$山东联通

//咪咕1频道不大行
CCTV1,http://go.bkpcp.top/mg/cctv1$咪咕1
CCTV2,http://go.bkpcp.top/mg/cctv2$咪咕1
CCTV3,http://go.bkpcp.top/mg/cctv3$咪咕1
CCTV4,http://go.bkpcp.top/mg/cctv4$咪咕1
CCTV5,http://go.bkpcp.top/mg/cctv5$咪咕1
CCTV5+,http://go.bkpcp.top/mg/cctv5p$咪咕1
CCTV6,http://go.bkpcp.top/mg/cctv6$咪咕1
CCTV7,http://goo.bkpcp.top/mg/cctv7$咪咕1
CCTV8,http://go.bkpcp.top/mg/cctv8$咪咕1
CCTV9,http://go.bkpcp.top/mg/cctv9$咪咕1
CCTV10,http://go.bkpcp.top/mg/cctv10$咪咕1
CCTV11,http://go.bkpcp.top/mg/cctv11$咪咕1
CCTV12,http://go.bkpcp.top/mg/cctv12$咪咕1
CCTV13,http://go.bkpcp.top/mg/cctv13$咪咕1
CCTV14,http://go.bkpcp.top/mg/cctv14$咪咕1
CCTV15,http://go.bkpcp.top/mg/cctv15$咪咕1
CCTV16,http://go.bkpcp.top/mg/cctv16$咪咕1
CCTV17,http://go.bkpcp.top/mg/cctv17$咪咕1
CHC动作电影,http://go.bkpcp.top/mg/dzdy$咪咕1
CHC家庭影院,http://go.bkpcp.top/mg/jtyy$咪咕1
CCTV4欧洲,http://go.bkpcp.top/mg/cctv4o$咪咕1
CCTV4美洲,http://go.bkpcp.top/mg/cctv4m$咪咕1
CGTN西语,http://go.bkpcp.top/mg/cgtne$咪咕1
CGTN阿语,http://go.bkpcp.top/mg/cgtna$咪咕1
CGTN法语,http://go.bkpcp.top/mg/cgtnf$咪咕1
浙江卫视,http://go.bkpcp.top/mg/zjws$咪咕1
江苏卫视,http://go.bkpcp.top/mg/jsws$咪咕1
东方卫视,http://go.bkpcp.top/mg/dfws$咪咕1
江西卫视,http://go.bkpcp.top/mg/jxws$咪咕1
湖北卫视,http://go.bkpcp.top/mg/hubws$咪咕1
吉林卫视,http://go.bkpcp.top/mg/jlws$咪咕1
海南卫视,http://go.bkpcp.top/mg/hinws$咪咕1
大湾区卫视,http://go.bkpcp.top/mg/dwqws$咪咕1
河北卫视,http://go.bkpcp.top/mg/hbws$咪咕1
山西卫视,http://go.bkpcp.top/mg/sxiws$咪咕1
西藏卫视,http://go.bkpcp.top/mg/xzws$咪咕1
北京卫视,http://go.bkpcp.top/mg/bjws$咪咕1
甘肃卫视,http://go.bkpcp.top/mg/gsws$咪咕1
湖南卫视,http://go.bkpcp.top/mg/hunws$咪咕1
深圳卫视4k,http://go.bkpcp.top/mg/szws$咪咕1
山东卫视,http://go.bkpcp.top/mg/sdws$咪咕1
河南卫视,http://go.bkpcp.top/mg/hnws$咪咕1
陕西卫视,http://go.bkpcp.top/mg/sxws$咪咕1
兵团卫视,http://go.bkpcp.top/mg/btws$咪咕1
黑龙江视,http://go.bkpcp.top/mg/hljws$咪咕1
广东卫视,http://go.bkpcp.top/mg/gdws$咪咕1
重庆卫视,http://go.bkpcp.top/mg/cqws$咪咕1
内蒙古卫视,http://go.bkpcp.top/mg/nmgws$咪咕1
贵州卫视,http://go.bkpcp.top/mg/gzws$咪咕1
四川卫视,http://go.bkpcp.top/mg/scws$咪咕1
新疆卫视,http://go.bkpcp.top/mg/xjws$咪咕1
